combined_data
females,males,hispanic,not hispanic,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Two or more races,Age: [0-10],Age: [11-20],Age: [21-30],Age: [31-40],Age: [41-50],Age: [51-60],Age: [61-70],Age: [71-80],Age: [81-84],Age: [85]+,GDP Per Year (Normalized),Personal income per capita (Normalized),Personal Consumption expenditure per capita (Normalized),Presidential Approval Rating,GOP/Total Senate Seats pre-election,GOP/Total House Seats pre-election
5.15E-01,4.85E-01,5.53E-02,9.45E-01,6.84E-01,2.75E-01,5.42E-03,1.64E-02,9.63E-04,1.82E-02,1.32E-01,1.27E-01,1.37E-01,1.23E-01,1.25E-01,1.36E-01,1.21E-01,6.69E-02,1.41E-02,1.7E-02,0.06990026597,0.1630952381,0.1889274846,0.44,1,0.8571428571
4.97E-01,5.03E-01,3.25E-02,9.67E-01,8.6E-01,1.65E-02,9.06E-02,1.16E-02,6.86E-04,2.04E-02,1.53E-01,1.37E-01,1.37E-01,1.18E-01,1.23E-01,1.4E-01,9.62E-02,5.5E-02,1.67E-02,2.38E-02,0.005547293524,0.2666442049,0.2800405767,0.42,0.5,1
4.96E-01,5.04E-01,3.82E-02,9.62E-01,8.5E-01,2.04E-02,9.17E-02,1.46E-02,7.34E-04,2.3E-02,1.53E-01,1.33E-01,1.36E-01,1.25E-01,1.09E-01,1.34E-01,1.13E-01,5.73E-02,1.54E-02,2.42E-02,0.007508002589,0.3462713387,0.437398174,0.4,1,1
5.12E-01,4.88E-01,4.81E-02,9.52E-01,7.92E-01,1.7E-01,4.29E-03,1.61E-02,8.97E-04,1.64E-02,1.38E-01,1.32E-01,1.35E-01,1.28E-01,1.39E-01,1.37E-01,1.04E-01,5.59E-02,1.37E-02,1.65E-02,0.09635443455,0.1345013477,0.09892102917,0.39,1,0.7777777778
5.12E-01,4.88E-01,5.28E-02,9.47E-01,7.87E-01,1.71E-01,4.54E-03,1.8E-02,9.36E-04,1.86E-02,1.35E-01,1.27E-01,1.39E-01,1.27E-01,1.29E-01,1.37E-01,1.13E-01,6.25E-02,1.39E-02,1.75E-02,0.115638954,0.2317610063,0.2118594571,0.41,1,0.7777777778
5.04E-01,4.96E-01,3.82E-01,6.18E-01,8.06E-01,1.23E-01,1E-02,4.25E-02,1.28E-03,1.72E-02,1.62E-01,1.47E-01,1.47E-01,1.39E-01,1.34E-01,1.23E-01,8.14E-02,4.24E-02,1.07E-02,1.28E-02,0.5228788626,0.226819407,0.1747256463,0.44,1,0.71875
5.03E-01,4.97E-01,3.91E-01,6.09E-01,7.94E-01,1.26E-01,1.01E-02,4.89E-02,1.4E-03,1.94E-02,1.58E-01,1.43E-01,1.48E-01,1.41E-01,1.28E-01,1.22E-01,8.91E-02,4.65E-02,1.07E-02,1.36E-02,0.582389331,0.2806603774,0.2954720113,0.49,1,0.6666666667
4.97E-01,5.03E-01,1.32E-01,8.68E-01,9.18E-01,1.27E-02,1.5E-02,2.25E-02,9.64E-03,2.23E-02,1.95E-01,1.6E-01,1.62E-01,1.43E-01,1.1E-01,1.03E-01,6.92E-02,3.72E-02,9.68E-03,1.16E-02,0.0377981683,0.06361185984,0.0926193477,0.28,1,0.6666666667
4.97E-01,5.03E-01,1.38E-01,8.62E-01,9.11E-01,1.37E-02,1.54E-02,2.46E-02,1.02E-02,2.46E-02,1.84E-01,1.6E-01,1.58E-01,1.46E-01,1.11E-01,1E-01,7.8E-02,4.15E-02,9.54E-03,1.2E-02,0.04865216107,0.2036612758,0.2382957794,0.39,1,1
5.07E-01,4.93E-01,1.63E-02,9.84E-01,9.53E-01,1.12E-02,3.72E-03,1.43E-02,3.06E-04,1.72E-02,1.13E-01,1.38E-01,1.22E-01,1.11E-01,1.42E-01,1.62E-01,1.18E-01,5.78E-02,1.59E-02,2.16E-02,0,0.2705750225,0.4307583536,0.59,0,0
5.06E-01,4.94E-01,1.86E-02,9.81E-01,9.46E-01,1.29E-02,3.83E-03,1.77E-02,3.71E-04,1.88E-02,1.08E-01,1.3E-01,1.28E-01,1.13E-01,1.23E-01,1.57E-01,1.34E-01,6.86E-02,1.56E-02,2.28E-02,0.0009601063111,0.3843665768,0.5769881037,0.6,0,0
5.09E-01,4.91E-01,8.37E-02,9.16E-01,7.11E-01,1.97E-01,5.22E-03,5.96E-02,1.06E-03,2.62E-02,1.37E-01,1.32E-01,1.42E-01,1.32E-01,1.45E-01,1.38E-01,9.64E-02,4.97E-02,1.26E-02,1.61E-02,0.1575300637,0.3656334232,0.3453321447,0.46,0,0.7272727273
5.08E-01,4.92E-01,9.16E-02,9.08E-01,7E-01,1.98E-01,5.33E-03,6.59E-02,1.13E-03,2.94E-02,1.33E-01,1.27E-01,1.41E-01,1.34E-01,1.32E-01,1.39E-01,1.06E-01,5.73E-02,1.29E-02,1.73E-02,0.1770022293,0.4601078167,0.474163106,0.51,0,0.7272727273
5.01E-01,4.99E-01,1.17E-01,8.83E-01,8.14E-01,3.94E-02,1.88E-02,7.77E-02,6.74E-03,4.3E-02,1.39E-01,1.29E-01,1.43E-01,1.33E-01,1.38E-01,1.4E-01,9.96E-02,4.82E-02,1.27E-02,1.79E-02,0.1406890693,0.324146451,0.3252897236,0.51,0,0.4444444444
5E-01,5E-01,1.25E-01,8.75E-01,7.98E-01,4.16E-02,1.93E-02,8.72E-02,7.46E-03,4.6E-02,1.36E-01,1.22E-01,1.46E-01,1.4E-01,1.26E-01,1.34E-01,1.11E-01,5.6E-02,1.22E-02,1.8E-02,0.1758911507,0.5052560647,0.4817558636,0.56,0,0.4
5.06E-01,4.94E-01,1.34E-02,9.87E-01,9.4E-01,3.5E-02,2.27E-03,7.6E-03,2.82E-04,1.49E-02,1.22E-01,1.22E-01,1.24E-01,1.22E-01,1.35E-01,1.5E-01,1.2E-01,6.66E-02,1.77E-02,2.05E-02,0.01530614137,0.04061096137,0.1045771725,0.33,0,0.6666666667
5.05E-01,4.95E-01,1.57E-02,9.84E-01,9.36E-01,3.57E-02,2.46E-03,8.44E-03,2.82E-04,1.69E-02,1.21E-01,1.18E-01,1.25E-01,1.19E-01,1.27E-01,1.44E-01,1.33E-01,7.4E-02,1.7E-02,2.22E-02,0.01555994431,0.08515274034,0.2009775291,0.29,0.5,1
5.03E-01,4.97E-01,6.18E-02,9.38E-01,8.81E-01,6.56E-02,1.09E-02,2.5E-02,4.73E-04,1.67E-02,1.36E-01,1.36E-01,1.31E-01,1.21E-01,1.39E-01,1.46E-01,9.89E-02,5.42E-02,1.6E-02,2.17E-02,0.09297033231,0.2184636119,0.2456118779,0.5,0.5,0.625
5.03E-01,4.97E-01,6.67E-02,9.33E-01,8.74E-01,6.67E-02,1.15E-02,2.88E-02,5.38E-04,1.87E-02,1.31E-01,1.31E-01,1.31E-01,1.25E-01,1.23E-01,1.46E-01,1.14E-01,6.04E-02,1.5E-02,2.23E-02,0.1076927572,0.3209793351,0.3780394086,0.51,0.5,0.625
5.03E-01,4.97E-01,3.01E-01,6.99E-01,8.42E-01,4.56E-02,5.32E-02,3.17E-02,2.56E-03,2.54E-02,1.48E-01,1.39E-01,1.4E-01,1.28E-01,1.28E-01,1.24E-01,1.02E-01,5.91E-02,1.48E-02,1.74E-02,0.003612169128,0.4540880503,0.3106882666,0.28,1,1
4.98E-01,5.02E-01,2.84E-01,7.16E-01,7.53E-01,9.65E-02,1.66E-02,8.42E-02,7.66E-03,4.23E-02,1.39E-01,1.23E-01,1.4E-01,1.38E-01,1.32E-01,1.3E-01,1.1E-01,6.16E-02,1.21E-02,1.39E-02,0.002577541793,0.4685534591,0.3922105069,0.27,1,1
